Whse Zone,Whse Location,Avail Width (in),Avail Depth  (in),Avail Height (in),Avail Volume (in3),Designation,
SB1,1A020A,54,420,160,3378240,VAS,
SB1,1A022A,52,420,160,3253120,VAS,
SB1,1A024A,56,420,160,3503360,VAS,
SB1,1A026A,55,420,160,3440800,VAS,
SB1,1A028A,54,420,160,3378240,VAS,
SB1,1A030A,53,420,160,3315680,BULK,
SB1,1A032A,56,420,160,3503360,BULK,
SB1,1A034A,53,420,160,3315680,BULK,
SB1,1A036A,53,420,160,3315680,BULK,
SB1,1A038A,52,420,160,3253120,BULK,
SB1,1A040A,52,420,160,3253120,BULK,
SB1,1A042A,53,420,160,3315680,BULK,
SB1,1A044A,55,420,160,3440800,BULK,
SB1,1A046A,55,420,160,3440800,BULK,
SB1,1A048A,56,420,160,3503360,BULK,
SB1,1A050A,54,420,160,3378240,BULK,
SB1,1A052A,56,420,160,3503360,BULK,
SB1,1A054A,52,420,160,3253120,BULK,
SB1,1A056A,56,420,160,3503360,BULK,
SB1,1A058A,51,420,160,3190560,BULK,
SB1,1A060A,51,420,160,3190560,BULK,
SB1,1A062A,56,420,160,3503360,BULK,
SB1,1A064A,51,420,160,3190560,BULK,
SB1,1A066A,54,420,160,3378240,BULK,
SB1,1A068A,49,420,160,3065440,BULK,
SB1,1A070A,61,420,160,3816160,BULK,
SB1,1A072A,49,420,160,3065440,BULK,
SB1,1A074A,56,420,160,3503360,BULK,
SB1,1A076A,50,420,160,3128000,BULK,
SB1,1A078A,61,420,160,3816160,BULK,
SB1,1A080A,64,420,160,4003840,BULK,
SB1,1A082A,50,420,160,3128000,BULK,
SB1,1A084A,55,420,160,3440800,BULK,
SB1,1A086A,52,420,160,3253120,BULK,
SB1,1A088A,55,420,160,3440800,BULK,
SB1,1A090A,52,420,160,3253120,BULK,
SB1,1A092A,55,420,160,3440800,BULK,
SB1,1A094A,52,420,160,3253120,BULK,
SB1,1A096A,54,420,160,3378240,BULK,
SB1,1A098A,51,420,160,3190560,BULK,
SB1,1A100A,47,420,160,2940320,BULK,
SB1,1A102A,47,420,160,2940320,BULK,
SB1,1A104A,48,420,160,3002880,REDTAG,
SB1,1A106A,49,420,160,3065440,REDTAG,
SB1,1A108A,47,420,160,2940320,REDTAG,
SB1,1B002A,58,514,160,3628480,VAS,
SB1,1B004A,58,514,160,3628480,VAS,
SB1,1B006A,58,514,160,3628480,VAS,
SB1,1B008A,54,514,160,3378240,VAS,
SB1,1B010A,58,514,160,3628480,VAS,
SB1,1B012A,53,514,160,3315680,VAS,
SB1,1B014A,58,514,160,3628480,VAS,
SB1,1B016A,53,514,160,3315680,VAS,
SB1,1B018A,58,514,160,3628480,VAS,
SB1,1B020A,52,514,160,3253120,BULK,
SB1,1B022A,52,514,160,3253120,BULK,
SB1,1B024A,56,514,160,3503360,BULK,
SB1,1B026A,45,514,160,2815200,BULK,
SB1,1B028A,65,514,160,4066400,BULK,
SB1,1B030A,53,514,160,3315680,BULK,
SB1,1B032A,56,514,160,3503360,BULK,
SB1,1B034A,53,514,160,3315680,BULK,
SB1,1B036A,55,514,160,3440800,BULK,
SB1,1B038A,50,514,160,3128000,BULK,
SB1,1B040A,52,514,160,3253120,BULK,
SB1,1B042A,53,514,160,3315680,BULK,
SB1,1B044A,54,514,160,3378240,BULK,
SB1,1B046A,56,514,160,3503360,BULK,
SB1,1B048A,53,514,160,3315680,BULK,
SB1,1B050A,53,514,160,3315680,BULK,
SB1,1B052A,55,514,160,3440800,BULK,
SB1,1B054A,53,514,160,3315680,BULK,
SB1,1B056A,53,514,160,3315680,BULK,
SB1,1B058A,52,514,160,3253120,BULK,
SB1,1B060A,52,514,160,3253120,BULK,
SB1,1B062A,55,514,160,3440800,BULK,
SB1,1B064A,52,514,160,3253120,BULK,
SB1,1B066A,54,514,160,3378240,BULK,
SB1,1B068A,51,514,160,3190560,BULK,
SB1,1B070A,61,514,160,3816160,BULK,
SB1,1B072A,48,514,160,3002880,BULK,
SB1,1B074A,56,514,160,4677120,BULK,
SB1,1B076A,50,514,160,4176000,BULK,
SB1,1B078A,61,514,160,5094720,BULK,
SB1,1B080A,64,514,160,5345280,BULK,
SB1,1B082A,51,514,160,4259520,BULK,
SB1,1B084A,56,514,160,4677120,BULK,
SB1,1B086A,52,514,160,4343040,BULK,
SB1,1B088A,55,514,160,4593600,BULK,
SB1,1B090A,51,514,160,4259520,BULK,
SB1,1B092A,54,514,160,4510080,BULK,
SB1,1B094A,53,514,160,4426560,BULK,
SB1,1B096A,55,514,160,4593600,BULK,
SB1,1B098A,52,514,160,4343040,BULK,
SB1,1B100A,46,514,160,3841920,BULK,
SB1,1B102A,48,514,160,4008960,BULK,
SB1,1B104A,47,514,160,3925440,BULK,
SB1,1B106A,50,514,160,4176000,BULK,
SB1,1B108A,48,514,160,4008960,BULK,
SB1,1D002A,57,451,160,4760640,BULK,
SB1,1D004A,55,451,160,4593600,BULK,
SB1,1D006A,57,451,160,4760640,BULK,
SB1,1D008A,55,451,160,4593600,BULK,
SB1,1D010A,57,451,160,4760640,BULK,
SB1,1D012A,54,451,160,4510080,BULK,
SB1,1D014A,56,451,160,4677120,BULK,
SB1,1D016A,55,451,160,4593600,BULK,
SB1,1D018A,56,451,160,4677120,BULK,
SB1,1D020A,54,451,160,4510080,BULK,
SB1,1D022A,54,451,160,4510080,BULK,
SB1,1D024A,55,451,160,4593600,BULK,
SB1,1D026A,47,451,160,3925440,BULK,
SB1,1D028A,64,451,160,5345280,BULK,
SB1,1D030A,54,451,160,4510080,BULK,
SB1,1D032A,55,451,160,4593600,BULK,
SB1,1D034A,55,451,160,4593600,BULK,
SB1,1D036A,55,451,160,4593600,BULK,
SB1,1D038A,51,451,160,4259520,BULK,
SB1,1D040A,54,451,160,4510080,BULK,
SB1,1D042A,53,451,160,4426560,BULK,
SB1,1D044A,55,451,160,4593600,BULK,
SB1,1D046A,55,451,160,4593600,BULK,
SB1,1D048A,54,451,160,4510080,BULK,
SB1,1D050A,54,451,160,4510080,BULK,
SB1,1D052A,56,451,160,4677120,BULK,
SB1,1D054A,54,451,160,4510080,BULK,
SB1,1D056A,56,451,160,4677120,BULK,
SB1,1D058A,52,451,160,4343040,BULK,
SB1,1D060A,51,451,160,4259520,BULK,
SB1,1D062A,55,451,160,4593600,BULK,
SB1,1D064A,52,451,160,4343040,BULK,
SB1,1D066A,55,451,160,4593600,BULK,
SB1,1D068A,50,451,160,4176000,BULK,
SB1,1D070A,56,451,160,4677120,BULK,
SB1,1D072A,53,451,160,4426560,BULK,
SB1,1D074A,56,451,160,3942400,BULK,
SB1,1D076A,51,451,160,3590400,BULK,
SB1,1D078A,61,451,160,4294400,BULK,
SB1,1D080A,63,451,160,4435200,BULK,
SB1,1D082A,51,451,160,3590400,BULK,
SB1,1D084A,56,451,160,3942400,BULK,
SB1,1D086A,52,451,160,3660800,BULK,
SB1,1D088A,55,451,160,3872000,BULK,
SB1,1D090A,52,451,160,3660800,BULK,
SB1,1D092A,52,451,160,3660800,BULK,
SB1,1D094A,56,451,160,3942400,BULK,
SB1,1D096A,56,451,160,3942400,BULK,
SB1,1D098A,52,451,160,3660800,BULK,
SB1,1D100A,54,451,160,3801600,BULK,
SB1,1D102A,49,451,160,3449600,BULK,
SB1,1D104A,51,451,160,3590400,BULK,
SB1,1D106A,50,451,160,3520000,BULK,
SB1,1D108A,53,451,160,3731200,BULK,
SB1,1E002A,58,333,160,4083200,BULK,
SB1,1E004A,54,333,160,3801600,BULK,
SB1,1E006A,56,333,160,3942400,BULK,
SB1,1E008A,54,333,160,3801600,BULK,
SB1,1E010A,56,333,160,3942400,BULK,
SB1,1E012A,56,333,160,3942400,BULK,
SB1,1E014A,55,333,160,3872000,BULK,
SB1,1E016A,54,333,160,3801600,BULK,
SB1,1E018A,57,333,160,4012800,BULK,
SB1,1E020A,52,333,160,3660800,BULK,
SB1,1E022A,54,333,160,3801600,BULK,
SB1,1E024A,55,333,160,3872000,BULK,
SB1,1E026A,45,333,160,3168000,BULK,
SB1,1E028A,65,333,160,4576000,BULK,
SB1,1E030A,52,333,160,3660800,BULK,
SB1,1E032A,53,333,160,3731200,BULK,
SB1,1E034A,53,333,160,3731200,BULK,
SB1,1E036A,54,333,160,3801600,BULK,
SB1,1E038A,51,333,160,3590400,BULK,
SB1,1E040A,53,333,160,3731200,BULK,
SB1,1E042A,54,333,160,3801600,BULK,
SB1,1E044A,53,333,160,3731200,BULK,
SB1,1E046A,56,333,160,3942400,BULK,
SB1,1E048A,54,333,160,3801600,BULK,
SB1,1E050A,54,333,160,3801600,BULK,
SB1,1E052A,54,333,160,3801600,BULK,
SB1,1E054A,55,333,160,3872000,BULK,
SB1,1E056A,53,333,160,3731200,BULK,
SB1,1E058A,53,333,160,3731200,BULK,
SB1,1E060A,53,333,160,3731200,BULK,
SB1,1E062A,54,333,160,3801600,BULK,
SB1,1E064A,53,333,160,3731200,BULK,
SB1,1E066A,53,333,160,3731200,BULK,
SB1,1E068A,50,333,160,3520000,BULK,
SB1,1E070A,58,333,160,4083200,BULK,
SB1,1E072A,51,333,160,3590400,BULK,
SB1,1E074A,55,333,160,4004000,BULK,
SB1,1E076A,52,333,160,3785600,BULK,
SB1,1E078A,60,333,160,4368000,BULK,
SB1,1E080A,55,333,160,4004000,BULK,
SB1,1E082A,51,333,160,3712800,BULK,
SB1,1E084A,55,333,160,4004000,BULK,
SB1,1E086A,51,333,160,3712800,BULK,
SB1,1E088A,54,333,160,3931200,BULK,
SB1,1E090A,53,333,160,3858400,BULK,
SB1,1E092A,54,333,160,3931200,BULK,
SB1,1E094A,53,333,160,3858400,BULK,
SB1,1E096A,55,333,160,4004000,BULK,
SB1,1E098A,51,333,160,3712800,BULK,
SB1,1E100A,47,333,160,3421600,BULK,
SB1,1E102A,51,333,160,3712800,BULK,
SB1,1E104A,48,333,160,3494400,BULK,
SB1,1E106A,51,333,160,3712800,BULK,
SB1,1E108A,49,333,160,3567200,BULK,
SB1,1E110A,52,333,160,3785600,BULK,
SB1,1E112A,47,333,160,3421600,BULK,
SB1,1E114A,51,333,160,3712800,BULK,
SB1,1E116A,52,333,160,3785600,BULK,
SB1,1F002A,61,970,160,4440800,BULK,
