Depot Code,Client Code,Create Date,Whse Zone,Whse Location,Reserved Zone,Reserved Location,Avail,Phys,Case Number,Inb MO#,Status,Article ID,Description,Quantity,Unit Of Measure,Case Weight Actual,Case Volume Actual,MLP Pack Class Type,MLP Class Qty,MLP Class
U45,SUNPCA01  ,3/29/2017,SR2,2F101D    ,   ,          ,Y,Y,ISP00014018      ,U450905227,Available,101746,Mounting Item FLA-12 Flashings 18x1,39,BX ,507,54.35,PL  ,1,6
U45,SUNPCA01  ,3/30/2017,SR4,2F092D    ,   ,          ,Y,Y,ISP00014040      ,U450905227,Available,101746,Mounting Item FLA-12 Flashings 18x1,40,BX ,520,54.35,PL  ,1,6
U45,SUNPCA01  ,4/27/2017,SR8,2B095B    ,   ,          ,Y,Y,ISP00004158      ,U450917834,Available,101746,Mounting Item FLA-12 Flashings 18x1,40,BX ,520,54.35,PL  ,1,6
U45,SUNPCA01  ,4/27/2017,SR8,2B106A    ,SR2,2F101D    ,Y,Y,ISP00004159      ,U450917834,Available,101746,Mounting Item FLA-12 Flashings 18x1,21,BX ,273,34.37,PL  ,1,6
U45,SUNPCA01  ,6/1/2017,SE3,2K043B1   ,   ,          ,Y,Y,IPS01001610      ,U450934100,Available,102210,MOUNTING ITEM MID CLAMPS MIDC BLACK,20,EA ,1.2,4.65,PL  ,1,6
U45,SUNPCA01  ,6/1/2017,SR1,2M109D    ,   ,          ,Y,Y,IPS01001620      ,U450934100,Available,104022,Monitoring Item SPR-PMR-WDISP Wirel,2,EA ,0.9,15.56,PL  ,1,6
U45,SUNPCA01  ,5/3/2017,SR5,2T045B    ,   ,          ,Y,Y,ISP00005376      ,U450920448,Available,104048,MOUNTING ITEM STAND OFF 4 STO-4 BLA,5,EA ,52.5,20.81,PL  ,1,6
U45,SUNPCA01  ,6/2/2017,SC2,2F005A    ,   ,          ,N,Y,IPS01003998      ,U450934305,Available,104049,MOUNTING ITEM STAND OFF 7 INCH STO-,16,BX ,217.6,19.17,BX  ,16,1
U45,SUNPCA01  ,6/19/2017,SR1,2K005E    ,   ,          ,Y,Y,IPS01006022      ,U450939543,Available,104049,MOUNTING ITEM STAND OFF 7 INCH STO-,24,BX ,326.4,57.68,PL  ,1,6
U45,SUNPCA01  ,6/19/2017,SR2,2J079D    ,   ,          ,Y,Y,IPS01006023      ,U450939543,Available,104049,MOUNTING ITEM STAND OFF 7 INCH STO-,36,BX ,489.6,72.38,PL  ,1,6
U45,SUNPCA01  ,6/19/2017,SR2,2J107D    ,   ,          ,Y,Y,IPS01006024      ,U450939543,Available,104049,MOUNTING ITEM STAND OFF 7 INCH STO-,36,BX ,489.6,72.38,PL  ,1,6
U45,SUNPCA01  ,6/23/2017,SR2,2I090B    ,   ,          ,Y,Y,IPS01006792      ,U450941915,Available,104049,MOUNTING ITEM STAND OFF 7 INCH STO-,24,BX ,326.4,57.68,PL  ,1,6
U45,SUNPCA01  ,6/23/2017,SR2,2J059C    ,   ,          ,Y,Y,IPS01006791      ,U450941915,Available,104049,MOUNTING ITEM STAND OFF 7 INCH STO-,36,BX ,489.6,72.38,PL  ,1,6
U45,SUNPCA01  ,6/23/2017,SR2,2J111B    ,   ,          ,Y,Y,IPS01006793      ,U450941915,Available,104049,MOUNTING ITEM STAND OFF 7 INCH STO-,36,BX ,489.6,72.38,PL  ,1,6
