Article ID,Article Description,Item Type,Serials Req?,Serials per SKU,"EA
SIS",EA Length,EA Width,EA Height,EA Weight,EA Volume,"CA
Qty","CA
SIS",CA Length,CA Width,CA Height,CA Weight,CA Volume,CA UoM,"PL
Qty","PL
SIS",PL Length,PL Width,PL Height,PL Weight,PL Volume,PL UoM
100085,TAB INTERCONNECT SLIM,SBO,N,0,3,0.27,0.04,0,0,0,"6,000",3,1,0.79,0.54,4.8,0.43,CA  ,"150,000",1,2,2,2.8,120,11.2,PL  
100087,Stamped Bus String to String,NEW,N,0,3,1,1,1,1,1,,,,,,,,,999,1,4,3.33,5,999,66.6,PL  
100088,STAMPED BUS CENTER TAP,NEW,N,0,3,1,1,1,1,1,,,,,,,,,999,1,4,3.33,5,999,66.6,PL  
100090,STAMPED BUS STRING TO J-BOX LEAD,NEW,N,0,3,1,1,1,1,1,,,,,,,,,999,1,4,3.33,5,999,66.6,PL  
100092,Stamped Bus J shape 165.8mm,NEW,N,0,3,1,1,1,1,1,,,,,,,,,999,1,4,3.33,5,999,66.6,PL  
100093,Stamped Bus J shape 400mm,NEW,N,0,3,1,1,1,1,1,,,,,,,,,999,1,4,3.33,5,999,66.6,PL  
100095,Shield Tape Interconnect White 6.1m,NEW,N,0,3,1,1,1,1,1,,,,,,,,,999,1,4,3.33,5,999,66.6,PL  
100096,SHIELD TAPE INTERCONNECT BLACK 6.1M,NEW,N,0,3,1,1,1,1,1,,,,,,,,,999,1,4,3.33,5,999,66.6,PL  
100104,EPE Insulator Black 20mm width,NEW,N,0,3,1,1,1,1,1,,,,,,,,,999,1,0,0,5,999,998.9,PL  
100105,Insulator White 20mm width I/U/D/J,NEW,N,0,3,1,1,1,1,1,,,,,,,,,999,1,0,0,5,999,998.9,PL  
100106,EPE Insulator Black 30mm width,NEW,N,0,3,1,1,1,1,1,,,,,,,,,999,1,0,0,5,999,998.9,PL  
100107,Insulator White 30mm width I/U/D/J,NEW,N,0,3,1,1,1,1,1,,,,,,,,,999,1,0,0,5,999,998.9,PL  
100108,EPE Insulator Black 45mm width,NEW,N,0,3,1,1,1,1,1,,,,,,,,,999,1,0,0,5,999,998.9,PL  
100109,Insulator White 45mm width I/U/D/J,NEW,N,0,3,1,1,1,1,1,,,,,,,,,999,1,0,0,5,999,998.9,PL  
100110,EVA sheet 1060mm,NEW,N,0,3,1,1,1,1,1,,,,,,,,,999,1,4,3.33,5,999,66.6,PL  
100118,EVA sheet 812mm I/U/D/J,NEW,N,0,3,1,1,1,1,1,,,,,,,,,999,1,4,3.33,5,999,66.6,PL  
100130,Tape String Alignment 0.5 wide x 72,NEW,N,0,3,1,1,1,1,1,,,,,,,,,999,1,0,0,5,999,998.9,PL  
100131,Tape Frame 5/8 inch Duplomont 9183,NEW,N,0,3,1,1,1,0.11,1,,,,,,,,,999,1,0,0,5,110.09,998.9,PL  
100219,SEALANT JBOX RTV WHITE PV804 CARTRI,NEW,N,0,3,1,1,1,66.14,1,,,,,,,,,999,1,0,0,5,"66,072.56",998.9,PL  
100221,Sealant jbox RTV White PV804 pail,NEW,N,0,3,1,1,1,66.14,1,,,,,,,,,999,1,4,3.33,5,"66,072.56",66.6,PL  
100222,SEALANT JBOX RTV BLACK PV804 PAIL,NEW,N,0,3,1,1,1,66.14,1,,,,,,,,,999,1,4,3.33,5,"66,072.56",66.6,PL  
100225,Solder paste NoClnSnAg 10CC,NEW,N,0,3,1,1,1,1,1,,,,,,,,,999,1,4,3.33,5,999,66.6,PL  
100226,Solder paste NoCln SnAg 30cc,NEW,N,0,3,1,1,1,1,1,,,,,,,,,999,1,4,3.33,5,999,66.6,PL  
100228,Screw DIN 7982 3.5x19mm black,NEW,N,0,3,1,1,1,0.02,1,,,,,,,,,999,1,4,3.33,5,21.98,66.6,PL  
100238,Box 2-up 72-cell SP,NEW,N,0,3,1,1,1,1,1,,,,,,,,,999,1,0,0,5,999,998.9,PL  
100242,Box 2-up 96-cell SP,NEW,N,0,3,1,1,1,1,1,,,,,,,,,999,1,0,0,5,999,998.9,PL  
100243,Box 2-up 32-cellSP,NEW,N,0,3,1,1,1,1,1,,,,,,,,,999,1,0,0,5,999,998.9,PL  
100247,CratelamSRC50X Revised 2-stack,NEW,N,0,3,1,1,1,1,1,,,,,,,,,999,1,0,0,5,999,998.9,PL  
100248,Crate lam 72-cell 30X,NEW,N,0,3,1,1,0.06,1,0.06,,,,,,,,,999,1,4,3.33,5,999,66.6,PL  
100249,Label mark of origin Philippines,NEW,N,0,3,1,1,0.06,1,0.06,,,,,,,,,999,1,4,3.33,5,999,66.6,PL  
100250,Label serial no.blank,NEW,N,0,3,1,1,0.06,1,1,,,,,,,,,999,1,4,3.33,5,999,66.6,PL  
100265,Label SRC-52L Rev A 1220x420mm,NEW,N,0,3,1,1,1,1,1,,,,,,,,,999,1,0,0,5,999,998.9,PL  
100269,Label SPR-210-WHT-I,NEW,N,0,3,1,1,1,1,1,,,,,,,,,555,1,4,3.33,5,555,66.6,PL  
100283,Label SPR-205-BLK-I,NEW,N,0,3,1,1,1,1,1,,,,,,,,,999,1,0,0,5,999,998.9,PL  
100284,Label SPR-230-WHT-U,NEW,N,0,3,1,1,1,1,1,,,,,,,,,999,1,0,0,5,999,998.9,PL  
100287,Label SPR-225-WHT-I,NEW,N,0,3,1,1,1,1,1,,,,,,,,,999,1,0,0,5,999,998.9,PL  
100290,Label SPR-220-BLK-I,NEW,N,0,3,1,1,1,1,1,,,,,,,,,999,1,0,0,5,999,998.9,PL  
100296,Label SPR-225-BLK-U,NEW,N,0,3,1,1,1,1,1,,,,,,,,,999,1,4,3.33,5,999,66.6,PL  
100307,Labeldo not disconnect,NEW,N,0,3,1,1,1,1,1,,,,,,,,,999,1,4,3.33,5,999,66.6,PL  
100321,Label SPR-315E-WHT-I,NEW,N,0,3,1,1,1,1,1,,,,,,,,,999,1,0,0,5,999,998.9,PL  
100345,MANUAL SAFETY AND INSTALLATION UL,NEW,N,0,3,1,1,1,1,1,,,,,,,,,999,1,4,3.33,5,999,66.6,PL  
100518,Glass 18-cell 3.2 x 1174 x 318mm Al,NEW,N,0,3,1,1,1,1,1,,,,,,,,,999,1,4,3.33,5,999,66.6,PL  
100523,Wire IEC 4mm2 Radox 12545802,NEW,N,0,3,1,1,1,1,1,,,,,,,,,999,1,0,0,5,999,998.9,PL  
100525,Wire UL 10AWG 37-strand,NEW,N,0,3,1,1,1,1,1,,,,,,,,,999,1,0,0,5,999,998.9,PL  
100535,Junction Box 18cell4mmRedPos MC PV-,NEW,N,0,3,1,1,1,1,1,,,,,,,,,999,1,0,0,5,999,998.9,PL  
100539,Bus connect .005 SnAg,NEW,N,0,3,1,1,1,1,1,,,,,,,,,999,1,4,3.33,5,999,66.6,PL  
100549,Frame set 3.2mm 72-cell black Nonfe,NEW,N,0,3,1,1,1,1,1,,,,,,,,,999,1,0,0,5,999,998.9,PL  
100657,MANUAL SAFETY AND INSTALLATION IEC,NEW,N,0,3,1,1,0.1,1,1,,,,,,,,,500,1,4,3.33,5,500,66.6,PL  
100658,Safety and Installation Manual Mode,NEW,N,0,3,1,1,1,1,1,,,,,,,,,999,1,0,0,5,999,998.9,PL  
101187,Yellow Strap,NEW,N,0,0,1,1,1,1,1,,,,,,,,,999,1,4,3.33,5,998,66.6,PL  
101399,CYLINDER S114651DNC50-185 DOUBLE AC,NEW,N,0,3,1,1,1,1,1,,,,,,,,,999,1,0,0,5,999,998.9,PL  
101746,Mounting Item FLA-12 Flashings 18x1,SBO,N,0,3,1.5,1,0.75,13,1.13,,,,,,,,,40,1,4,3.33,4.08,520,54.35,PL  
101819,FUSE VPN A004-966-586ABIA.FLSR6A-60,SFS,N,0,3,1.17,0.21,0.21,6,0.05,6,3,1.33,1.04,0.75,36,1.04,CA  ,48,1,4,3.33,1.08,288,14.39,PL  
102046,MOUNTING ITEM END CLAMPS ENDCF KIT,SBO,N,0,3,1.33,0.1,0.16,2.13,0.02,15,3,1.33,0.5,0.48,31.95,0.32,CA  ,60,1,4,3.33,0.81,127.8,10.79,PL  
102210,MOUNTING ITEM MID CLAMPS MIDC BLACK,NEW,N,0,3,0.75,0.48,0.19,1.9,0.07,600,3,1.58,1.54,1.3,36,3.17,CA  ,"3,600",1,4,3.33,5,998,66.6,PL  
102247,Mounting Item GC-4 Grounding Clips,NEW,N,0,3,0.79,0.35,0.17,0.5,0.05,,,,,,,,,999,1,4,3.33,5,499.5,66.6,PL  
102459,LAMINATE-WHITE-72 B50N CELL(H/I/J/K,NEW,N,0,3,1,1,1,1,1,,,,,,,,,999,1,0,0,5,999,998.9,PL  
102460,LAMINATE-WHITE-72 B50 CELL(I/J/K) I,NEW,N,0,3,5.13,2.63,0.15,35,1,,,,,,,,,20,1,5.25,2.75,3.25,700,66.6,PL  
102472,MOUNTING ITEM L FOOTINGS LF BLACK W,SBO,N,0,3,0.25,0.17,0.17,0.1,0.01,10,3,0.75,0.5,0.21,1,0.08,CA  ,10,1,4,3.33,0.54,5,7.17,PL  
102742,SERVO MOTOR SGMAH-04AAA4AL-TECH ME-,NEW,N,0,3,0.75,0.5,0.21,2.47,0.08,1,3,0.75,0.5,0.21,2.47,0.08,CA  ,999,1,4,3.33,5,998,66.6,PL  
103030,Suntile PLT-63L-BLK-U,SLP,Y,1,3,5.13,1.67,0.17,1,1,,,,,,,,,36,1,4,3.33,9.76,"1,152",66.6,PL  
103906,MOUNTING ITEM SPLICE BARS SBAR-SM B,SBO,N,0,3,0.71,0.54,0.37,4.2,0.14,1,3,0.71,0.54,0.37,4.2,0.14,CA  ,999,1,4,3.33,5,998,66.6,PL  
104022,Monitoring Item SPR-PMR-WDISP Wirel,SBO,N,0,3,0.92,0.88,0.21,0.45,0.17,,,,,,,,,25,1,4,3.33,2,11.25,26.64,PL  
104023,Mounting Item SPR-SH SPR Comp Shims,SBO,N,0,3,0.53,0.3,0.18,2.85,0.03,9,3,0.93,0.85,0.56,25.65,0.44,CA  ,9,1,4,3.33,1.64,26,21.88,PL  
104024,INVERTER SPR-T36km,SSN,Y,1,3,1,1,1,1,1,,,,,,,,,999,1,0,0,5,999,998.9,PL  
104025,INVERTER SPR-T42km,SSN,Y,1,3,1,1,1,1,1,,,,,,,,,999,1,0,0,5,999,998.9,PL  
104026,INVERTER SPRx Wired Monitor,SSN,Y,1,3,0.87,0.69,0.21,1.25,0.13,1,3,0.87,0.69,0.21,1.25,0.13,CA  ,999,1,4,3.33,5,998,66.6,PL  
104048,MOUNTING ITEM STAND OFF 4 STO-4 BLA,NEW,N,0,3,1.04,1,1.06,10.5,0,,,,,,,,,36,1,4,3.33,4.75,378,66.6,PL  
104049,MOUNTING ITEM STAND OFF 7 INCH STO-,SBO,N,0,3,1.04,1.04,1.1,13.6,1.2,,,,,,,,,27,1,4,3.33,4.33,367.2,57.68,PL  
104208,KIT MOUNTING ITEM SUNFRAME SPR-SF-4,SRL,N,0,3,10.58,0.37,0.29,22,1.14,,,,,,,,,70,1,10.83,3.75,2.65,"1,540",107.62,PL  
104209,KIT MOUNTING ITEM SOLARMOUNT SPR-SM,NEW,N,0,3,11,0.25,0.25,18,0.69,1,3,11,0.25,0.25,18,0.69,CA  ,999,1,4,3.33,5,998,66.6,PL  
104221,INVERTER SPR-2000,SSN,Y,1,3,1.92,1.29,1.6,96,1,,,,,,,,,15,1,4,3.33,5.14,"1,440",66.6,PL  
104223,PVM SPR-200-BLK-U,SLP,Y,1,3,5.13,2.63,0.15,37,1.97,,,,,,,,,20,1,5.13,2.75,3.25,740,45.75,PL  
104223B,PVM SPR-200-BLK-U NPB,SLP,Y,1,3,1,1,0.06,1,0.06,,,,,,,,,999,1,4,3.33,5,999,66.6,PL  
104223C,PVM SPR-200-BLK-U NPC,SLP,Y,1,3,1,1,0.06,1,0.06,,,,,,,,,999,1,4,3.33,5,999,66.6,PL  
104229,PVM UNFR SPR-200L-BLK-I,SLP,Y,1,3,1,1,0.06,1,0.06,,,,,,,,,999,1,4,3.33,5,999,66.6,PL  
104233,PVM SPR-200-WHT-U C-1507-107,SLP,Y,1,3,1,1,1,1,1,,,,,,,,,999,1,0,0,5,999,998.9,PL  
104234,PVM SPR-205-BLK-I,SLP,Y,1,0,2.62,1.88,0.15,33.07,0.74,1,1,2.62,1.88,0.15,33.07,0.74,CA  ,999,1,4,3.33,5,998,66.6,PL  
104234B,PVM SPR-205-BLK-I NPB,SLP,Y,1,3,2.62,1.88,0.15,33.07,0.74,1,3,2.62,1.88,0.15,33.07,0.74,CA  ,999,1,4,3.33,5,998,66.6,PL  
104234C,PVM SPR-205-BLK-I NPC,SLP,Y,1,3,2.62,1.88,0.15,33.07,0.74,1,3,2.62,1.88,0.15,33.07,0.74,CA  ,999,1,4,3.33,5,998,66.6,PL  
104236,PVM SPR-205-BLK-U,SLP,Y,1,3,5.13,2.63,0.15,37,1.96,,,,,,,,,20,1,5.3,2.8,3.5,740,51.94,PL  
104237,PVM SPR-205-BLK-U A,SLP,Y,1,3,1,1,1,1,1,,,,,,,,,999,1,0,0,5,999,998.9,PL  
104240,PVM SPR-210-BLK-I,SLP,Y,1,0,1,1,1,1,1,,,,,,,,,999,1,0,0,5,999,998.9,PL  
104240B,PVM SPR-210-BLK-I NPB,SLP,Y,1,0,1,1,1,1,1,,,,,,,,,999,1,4,3.33,5,999,66.6,PL  
104241,PVM SPR-210-BLK-U,SLP,Y,1,3,5.13,2.63,0.15,34.5,1.96,,,,,,,,,20,1,5.13,2.75,3.25,690,45.75,PL  
104241B,PVM SPR-210-BLK-U NPB,SLP,Y,1,0,1,1,1,1,1,,,,,,,,,999,1,4,3.33,5,999,66.6,PL  
104241C,PVM SPR-210-BLK-U NPC,SLP,Y,1,3,1,1,1,1,1,,,,,,,,,999,1,0,0,5,999,998.9,PL  
104242,PVM SPR-210-BLK-U F,SLP,Y,1,3,1,1,1,1,1,,,,,,,,,999,1,0,0,5,999,998.9,PL  
104242B,PVM SPR-210-BLK-U F NPB,SLP,Y,1,3,1,1,1,1,1,,,,,,,,,999,1,0,0,5,999,998.9,PL  
104244,PVM SPR-210N-WHT-J,SLP,Y,1,3,1,1,1,1,1,,,,,,,,,999,1,0,0,5,999,998.9,PL  
104245,PVM SPR-210-WHT-I,SLP,Y,1,3,2.62,1.88,0.15,33.07,0.74,1,3,2.62,1.88,0.15,33.07,0.74,CA  ,999,1,4,3.33,5,998,66.6,PL  
104246,PVM SPR-210-WHT-I C,SLP,Y,1,3,2.62,1.88,0.15,33.07,0.74,1,3,2.62,1.88,0.15,33.07,0.74,CA  ,999,1,4,3.33,5,998,66.6,PL  
104247,PVM SPR-210-WHT-U,SLP,Y,1,3,5.13,2.63,0.17,33,2.25,,,,,,,,,20,1,5.25,2.75,3.67,660,52.99,PL  
104247B,PVM SPR-210-WHT-U NPB,SLP,Y,1,3,1,1,1,1,1,,,,,,,,,999,1,0,0,5,999,998.9,PL  
104247C,PVM SPR-210-WHT-U NPC,SLP,Y,1,3,1,1,1,1,1,,,,,,,,,999,1,0,0,5,999,998.9,PL  
104248,PVM SPR-210-WHT-U A-1507-106,SLP,Y,1,3,5.13,2.63,0.17,33,2.25,,,,,,,,,20,1,5.25,2.75,3.67,660,52.99,PL  
104248B,PVM SPR-210-WHT-U A (1507-106) NPB,SLP,Y,1,3,2.62,1.88,0.15,33.07,0.74,1,3,2.62,1.88,0.15,33.07,0.74,CA  ,999,1,4,3.33,5,998,66.6,PL  
